报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1662134,1357350,1292818,1150121,1024739,968941,850804,607937,571697,516572,393462,
营业收入(万元),1662134,1357350,1292818,1150121,1024739,968941,850804,607937,571697,516572,393462,
利息收入(万元),--,--,--,--,--,--,--,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),1282621,1054323,1037607,926207,845864,799562,653218,462688,544621,421951,327242,
营业成本(万元),946331,781434,745656,673951,633792,614667,506887,352285,392634,329653,256712,
利息支出(万元),--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),17427,11245,9814,8617,6779,5687,673,251,313,269,18,
销售费用(万元),118474,102058,98216,87678,77854,74352,62163,41099,42022,35370,28879,
管理费用(万元),239210,187336,153893,129418,99516,80263,66167,48348,37665,34792,20649,
财务费用(万元),-39943,-28906,28544,24380,24504,23560,17264,20634,30058,22189,20758,
资产减值损失(万元),1122,1154,1485,2163,3419,1033,63,71,41930,-323,226,
公允价值变动收益(万元),278,-281,846,-682,105,-71,--,0,--,--,--,
投资收益(万元),4196,2378,3103,2575,2154,1602,1643,2094,1028,1586,754,
对联营企业和合营企业的投资收益(万元),-11,556,3103,2575,2154,1602,1643,2094,1028,1586,754,
汇兑收益(万元),--,--,--,--,--,--,--,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),383986,305124,259160,225807,181134,170910,199229,147343,28103,96207,66974,
营业外收入(万元),11520,12994,7148,20844,8208,7729,3931,2997,4628,2709,1393,
营业外支出(万元),3544,13845,2423,8748,3084,1407,1977,22111,1243,957,1256,
非流动资产处置损失(万元),3163,7283,1606,7968,1391,628,1088,21990,--,--,--,
利润总额(万元),391963,304272,263885,237904,186258,177233,201183,128229,31489,97959,67112,
所得税费用(万元),77691,43523,42157,46192,33794,25972,22407,16426,6884,6238,5716,
未确认投资损失(万元),--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),314272,260750,221728,191712,152464,151261,178776,111803,24605,91721,61396,
归属于母公司所有者的净利润(万元),314423,260538,221975,191755,152477,151261,178776,111803,24605,91721,61396,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,0,--,--,--,
少数股东损益(万元),-151,212,-247,-43,-13,--,--,0,--,--,--,
基本每股收益,1.25,1.1,1.11,0.96,0.76,0.76,0.89,0.56,0.12,0.92,0.61,
稀释每股收益,1.25,1.1,1.11,0.96,0.76,0.76,0.89,0.56,0.12,0.92,0.61,
