 报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),1728166,1474262,1407512,1235139,1114896,1047415,904395,701247,705592,608390,457119, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),18771,19369,19340,10760,10125,10243,10154,10006,11830,3231,7189, 
 收到的其他与经营活动有关的现金(万元),19025,11229,7879,7149,9449,7131,3083,7836,6093,6830,7146, 
 经营活动现金流入小计(万元),1765962,1504859,1434731,1253048,1134469,1064788,917632,719090,723515,618450,471454, 
 购买商品、接受劳务支付的现金(万元),925904,850181,822283,712505,671440,748902,565709,422334,470715,405432,300694, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),287093,197713,169006,143227,115387,93667,67763,37161,35528,29360,18049, 
 支付的各项税费(万元),171261,138051,117863,105369,88677,65547,64696,57467,50182,40689,33520, 
 支付的其他与经营活动有关的现金(万元),18007,17467,10179,8109,8008,10471,7956,7055,7932,5775,1764, 
 经营活动现金流出小计(万元),1402264,1203412,1119331,969210,883512,918588,706124,524016,564356,481256,354027, 
 经营活动产生的现金流量净额(万元),363697,301447,315400,283838,250957,146200,211508,195073,159159,137194,117427, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,0,299,0,0, 
 取得投资收益所收到的现金(万元),980,8558,--,--,--,490,735,686,18,745,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5506,5023,7185,23777,2558,4209,9124,46745,2133,3478,21585, 
 处置子公司及其他营业单位收到的现金净额(万元),21252,5279,--,--,--,--,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),31696,5143,9255,21076,9307,818,3215,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流入小计(万元),59433,24003,16440,44853,11865,5517,13073,47431,2450,4222,21585, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),356756,325554,279974,188674,157131,111036,107389,45010,91810,187078,128342, 
 投资所支付的现金(万元),--,--,--,--,249,--,--,0,1960,0,7241, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,13748,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),20000,--,--,--,--,--,--,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流出小计(万元),376756,325554,279974,188674,157380,111036,121137,45010,93770,187078,135583, 
 投资活动产生的现金流量净额(万元),-317323,-301551,-263534,-143821,-145515,-105520,-108064,2421,-91320,-182855,-113998, 
 吸收投资收到的现金(万元),--,652384,368,--,368,--,--,0,0,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,368,--,368,--,--,0,0,0,0, 
 取得借款收到的现金(万元),807354,736691,670923,454262,334162,376844,196587,663946,372806,426281,301704, 
 发行债券收到的现金(万元),80000,--,--,--,--,40000,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),120000,17090,30000,120000,180000,50000,80000,130000,0,0,0, 
 筹资活动现金流入小计(万元),1007354,1406165,701291,574262,514530,466844,276587,793946,372806,426281,301704, 
 偿还债务支付的现金(万元),755397,723635,625491,592146,551269,312093,329955,969963,355483,327573,284296, 
 分配股利、利润或偿付利息所支付的现金(万元),203511,171451,124721,121000,99821,129702,48217,21316,82965,54977,20803, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),5998,272,1363,668,906,349,398,537,0,0,250, 
 筹资活动现金流出小计(万元),964905,895358,751575,713815,651997,442143,378570,991815,438448,382550,305348, 
 筹资活动产生的现金流量净额(万元),42449,510807,-50284,-139553,-137467,24700,-101983,-197870,-65642,43731,-3644, 
 汇率变动对现金及现金等价物的影响(万元),40437,29988,-841,--,--,--,--,0,0,0,0, 
 现金及现金等价物净增加额(万元),129260,540691,740,464,-32025,65380,1461,-376,2196,-1930,-216, 
 加:期初现金及现金等价物余额(万元),590623,49932,49192,48729,80754,15374,13913,14289,12093,14023,14239, 
 期末现金及现金等价物余额(万元),719883,590623,49932,49192,48729,80754,15374,13913,14289,12093,14023, 
 净利润(万元),314272,260750,221728,191712,152464,151261,178776,111803,24605,91721,61396, 
 少数股东损益(万元),--,--,--,--,--,--,--,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,0,0,0,0, 
 资产减值准备(万元),1122,1154,1485,2163,3419,1033,63,71,41930,-323,226, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),106431,87624,76019,76647,72432,64210,56698,55517,54090,43872,36778, 
 无形资产摊销(万元),4267,3611,3378,2907,2869,2508,2998,2651,2072,2196,1293, 
 长期待摊费用摊销(万元),14768,11956,10866,10852,8081,6962,6646,5690,5405,6034,3815, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,0,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),1732,6569,1043,-6595,847,-2239,1,21478,435,-1895,-9, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,0,0,0,0, 
 公允价值变动损失(万元),-278,281,-846,682,-105,71,--,0,0,0,0, 
 递延收益增加(减：减少)(万元),-2137,-1441,--,--,--,--,--,0,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,0,0,0,0, 
 财务费用(万元),-24934,-10937,24122,20230,22620,19025,13982,21734,33105,24211,20803, 
 投资损失(万元),-4196,-2378,-3103,-2575,-2154,-1602,-1643,-2094,-1028,-1586,-754, 
 递延所得税资产减少(万元),1124,-1484,-3614,-4040,-4509,-1631,-1330,166,-111,213,-10, 
 递延所得税负债增加(万元),-1218,1883,1061,5521,557,98,138,0,0,0,0, 
 存货的减少(万元),-29000,-30246,-33210,-9810,-1692,-21963,-37727,-10437,-3053,-33105,-13821, 
 经营性应收项目的减少(万元),-114213,-22201,-25196,-52811,-30631,-27682,-57850,-45979,6456,-31758,-15943, 
 经营性应付项目的增加(万元),95956,-3692,41667,48955,26758,-43851,51778,34474,-4748,37613,23653, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,0,0,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,0,0,0,0, 
 其他(万元),--,--,--,--,--,--,--,0,0,0,0, 
 经营活动产生现金流量净额(万元),363697,301447,315400,283838,250957,146200,211508,195073,159159,137194,117427, 
 债务转为资本(万元),--,--,--,--,--,--,--,0,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,0,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,0,0,0,0, 
 现金的期末余额(万元),719883,590623,49932,49192,48729,80754,15374,13913,14289,12093,14023, 
 现金的期初余额(万元),590623,49932,49192,48729,80754,15374,13913,14289,12093,14023,14239, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,0,0,0,0, 
 现金及现金等价物的净增加额(万元),129260,540691,740,464,-32025,65380,1461,-376,2196,-1930,-216, 

