报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),330369,242669,292864,384566,407457,251346,237057,191221,128154,89836,75303,
结算备付金(万元),--,--,--,--,--,--,--,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,0,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,0,--,0,0,
应收票据(万元),6023,3418,2384,5650,3997,2539,5317,1350,7111,6738,2961,
应收账款(万元),10084,13174,12935,19454,22591,18797,13336,8554,7143,2966,2622,
预付款项(万元),5759,7658,8014,7874,6331,3587,4953,1130,1383,1981,623,
应收保费(万元),--,--,--,--,--,--,--,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,0,--,0,0,
应收利息(万元),--,--,--,--,--,--,43,0,--,0,0,
应收股利(万元),--,--,--,--,--,--,2324,0,--,400,0,
其他应收款(万元),4768,5313,8048,5568,4900,4313,5561,1820,837,603,624,
应收出口退税(万元), --,--,--,--,--,--,--,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,0,--,0,0,
存货(万元),321971,338480,371999,356818,206690,170326,134901,139117,96817,104464,93703,
待摊费用(万元),--,--,--,--,--,--,--,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动资产(万元),233,227,6819,506,--,--,--,0,--,0,0,
其他流动资产(万元),24898,280637,150015,115373,72850,38868,--,0,--,1714,0,
流动资产合计(万元),704105,891576,853079,895809,724816,489776,403491,343192,241446,208701,175836,
发放贷款及垫款(万元),74250,--,--,--,--,--,--,0,--,0,0,
可供出售金融资产(万元),3404,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,0,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,0,--,0,0,
长期股权投资(万元),17667,16159,16204,16943,16903,34625,42997,37988,33513,32735,30015,
其他长期投资(万元),--,--,--,--,--,--,--,0,--,0,0,
投资性房地产(万元),--,--,--,--,101,--,--,0,--,0,0,
固定资产原值(万元),1692520,1645255,1517010,1193621,1079115,373163,335933,293654,263697,238096,230102,
累计折旧(万元),527522,459634,389800,335064,284094,153937,122839,111190,99374,83916,69693,
固定资产净值(万元),1164998,1185621,1127210,858557,795020,219226,213095,182463,164323,154180,160409,
固定资产减值准备(万元),7579,7990,7607,8812,8764,7833,7483,8500,8047,6615,7029,
固定资产(万元),1157419,1177631,1119602,849745,786257,211392,205612,173964,156276,147565,153380,
在建工程(万元),53260,71535,72948,46177,38107,11334,2860,8871,3853,4096,459,
工程物资(万元),234,681,1219,2535,962,325,147,13,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,0,--,0,0,
生产性生物资产(万元),7095,5280,3089,3403,2544,2677,2687,2648,1093,1123,1299,
公益性生物资产(万元),--,--,--,--,--,--,--,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,0,--,0,0,
无形资产(万元),104259,107409,108334,91609,85709,28220,7292,6418,6767,6887,7119,
开发支出(万元),--,--,--,--,--,--,--,0,--,0,0,
商誉(万元),--,--,--,--,--,--,--,0,--,0,0,
长期待摊费用(万元),6279,7259,8956,6601,6333,2799,3301,124,16,45,90,
股权分置流通权(万元),--,--,--,--,--,--,--,0,--,0,0,
递延所得税资产(万元),6679,6462,3913,8192,7777,2802,2495,2108,2652,1258,2222,
其他非流动资产(万元),541,4455,10898,53600,--,--,--,0,--,0,0,
非流动资产合计(万元),1431087,1396871,1345164,1078805,944693,294174,267391,232132,204172,193710,194584,
资产总计(万元),2135192,2288447,2198243,1974614,1669508,783950,670883,575324,445618,402412,370420,
短期借款(万元),105500,60000,29911,18888,20000,70454,--,0,--,1500,800,
向中央银行借款(万元),--,--,--,--,--,--,--,0,--,0,0,
吸收存款及同业存放(万元),33534,--,--,--,--,--,--,0,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,0,--,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,0,--,0,0,
应付票据(万元),--,419,174,--,--,16352,--,0,--,0,61,
应付账款(万元),230878,231368,336541,220937,160207,103836,68005,67687,46425,47792,47253,
预收账款(万元),71239,63614,45301,67506,61005,67747,79804,76766,48019,34848,25835,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,0,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,0,--,0,0,
应付职工薪酬(万元),60078,64750,64844,64820,56401,38690,34693,30080,26220,24824,21169,
应交税费(万元),29560,30919,31848,30152,27378,11410,13595,6806,6414,5197,2999,
应付利息(万元),75,16,49,90,28,539,--,94,79,64,53,
应付股利(万元),11867,142,--,25673,171,1818,12587,51,50,1538,0,
其他应交款(万元),--,--,--,--,--,--,--,0,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,0,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,0,--,0,0,
其他应付款(万元),74033,59660,47190,37032,63103,32276,28269,20371,14116,11870,10032,
预提费用(万元),--,--,--,--,--,--,--,0,--,0,0,
