报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),721118,591885,50716,50135,51091,84508,15972,13913,15385,12093,14050,
结算备付金(万元),--,--,--,--,--,--,--,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,0,--,0,0,
交易性金融资产(万元),195,--,369,164,34,--,--,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,0,--,0,0,
应收票据(万元),87160,56975,54451,68037,55618,54646,19264,6594,9223,10419,7894,
应收账款(万元),363634,276241,243477,205298,174373,151477,157023,116977,76513,78076,60203,
预付款项(万元),15096,17881,28170,22637,13567,12864,17908,12820,4367,10128,8458,
应收保费(万元),--,--,--,--,--,--,--,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,0,--,0,0,
应收利息(万元),--,--,--,--,--,68,--,0,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,0,--,0,0,
其他应收款(万元),11843,8656,11076,17526,10819,5257,5714,9028,3742,2862,3322,
应收出口退税(万元), --,--,--,--,--,--,--,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,0,--,0,0,
存货(万元),278587,249492,216904,187717,190739,189178,167773,127247,116690,135177,102072,
待摊费用(万元),--,--,--,--,--,--,--,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动资产(万元),1694,1407,1464,1885,1410,753,1038,827,714,708,0,
其他流动资产(万元),17470,18605,17703,41704,--,--,--,0,--,0,0,
流动资产合计(万元),1496796,1253188,664493,595102,497652,498752,384692,287405,226634,249464,195999,
发放贷款及垫款(万元),--,--,--,--,--,--,--,0,--,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,0,--,0,0,
长期应收款(万元),--,--,--,1882,2481,2445,1275,2528,--,0,0,
长期股权投资(万元),10154,4645,16104,13002,10427,8024,6913,10386,8978,6709,5868,
其他长期投资(万元),--,--,--,--,--,--,--,0,--,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,0,--,0,0,
固定资产原值(万元),1578928,1322404,1143662,998317,1026095,948149,817228,739717,773784,720701,516749,
累计折旧(万元),651290,552660,480908,412298,419078,355101,294046,242856,209228,159863,122207,
固定资产净值(万元),927638,769744,662754,586020,607017,593048,523183,496861,564555,560839,394542,
固定资产减值准备(万元),892,892,892,892,6911,4926,4926,4938,21194,892,892,
固定资产(万元),926746,768852,661862,585128,600106,588123,518257,491923,543361,559947,393650,
在建工程(万元),382196,284257,198226,135782,94106,51389,74445,45001,86794,63868,97208,
工程物资(万元),--,--,--,--,--,--,--,0,--,0,85,
固定资产清理(万元),--,--,--,--,--,--,--,0,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,0,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,0,--,0,0,
无形资产(万元),114808,117924,99191,84188,59812,45329,48166,48029,46258,46402,46180,
开发支出(万元),--,--,--,--,--,--,--,0,--,0,0,
商誉(万元),7468,7468,7468,7468,7468,7468,7468,7468,7468,7468,7468,
长期待摊费用(万元),29047,25900,21283,20850,20716,12861,10286,8541,9803,8456,8865,
股权分置流通权(万元),--,--,--,--,--,--,--,0,--,0,0,
递延所得税资产(万元),19340,20465,18932,15307,11336,6827,5196,3848,4014,3903,4117,
其他非流动资产(万元),29,--,--,--,--,--,--,0,--,0,0,
非流动资产合计(万元),1489789,1229509,1023066,863607,806452,722467,672005,617725,706675,696754,563442,
资产总计(万元),2986585,2482697,1687559,1458708,1304104,1221219,1056697,905130,933309,946217,759441,
短期借款(万元),425504,263646,264090,126058,114642,202625,109499,22967,107084,150621,110264,
向中央银行借款(万元),--,--,--,--,--,--,--,0,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,0,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,0,--,0,0,
交易性金融负债(万元),--,93,170,812,--,71,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,0,--,0,0,
应付票据(万元),61398,46016,56662,48447,37810,19554,69974,47634,45548,40136,36380,
应付账款(万元),130022,90911,94951,75623,51914,54408,60377,39819,25199,39739,22284,
预收账款(万元),2144,3399,3524,1932,1881,2058,2421,2985,6344,2638,2140,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,0,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,0,--,0,0,
应付职工薪酬(万元),42029,35376,29533,24231,18784,16141,17185,13124,5952,6440,2360,
应交税费(万元),55806,33534,34161,22238,12963,10167,4123,6379,-2997,-2614,-328,
应付利息(万元),1529,2264,3593,1994,2067,2122,183,277,1098,884,603,
应付股利(万元),--,--,--,--,--,--,--,0,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,0,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,0,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,0,--,0,0,
其他应付款(万元),109061,108781,85344,80867,67371,53364,35100,22645,17129,15583,12498,
预提费用(万元),--,--,--,--,--,--,--,0,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,0,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,0,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,0,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,0,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,0,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,0,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,0,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动负债(万元),80800,123459,38500,40600,13633,68580,6000,5000,85100,31620,21670,
其他流动负债(万元),60860,--,30972,126512,184310,52013,80305,130703,--,0,0,
流动负债合计(万元),969153,708434,643669,549314,505375,481103,385167,291534,290457,285048,207870,
长期借款(万元),77600,84800,81300,51800,48067,72244,83200,174100,315900,308520,260120,
应付债券(万元),79753,--,39956,39953,39950,39947,--,0,--,0,0,
长期应付款(万元),--,--,--,--,--,--,--,0,--,0,0,
专项应付款(万元),--,--,--,--,--,--,--,0,--,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,0,--,0,0,
长期递延收益(万元),48183,38699,34997,--,--,--,--,0,--,--,--,
